         9182704 function calls (8807876 primitive calls) in 16.261 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    26531    0.047    0.000    0.075    0.000 {built-in method builtins.issubclass}
     8171    0.041    0.000    0.074    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:587(_get_or_compute_thread_id_with_lock)
     2471    0.020    0.000    0.069    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\oklab\__init__.py:64(oklab_to_xyz_d65)
    16342    0.029    0.000    0.068    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\_debug_adapter\pydevd_schema.py:17214(to_dict)
     6585    0.037    0.000    0.066    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\srgb\__init__.py:27(gam_srgb)
     1802    0.017    0.000    0.066    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\lib\_stride_tricks_impl.py:495(broadcast_arrays)
  528/264    0.003    0.000    0.065    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:906(clip)
    16342    0.037    0.000    0.062    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_additional_thread_info_regular.py:139(set_additional_thread_info)
    11645    0.027    0.000    0.062    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\algebra.py:1829(__call__)
    22223    0.048    0.000    0.062    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:212(__setitem__)
    45295    0.060    0.000    0.060    0.000 {built-in method _thread.allocate_lock}
     9072    0.029    0.000    0.060    0.000 C:\Python312\Lib\threading.py:588(__init__)
    71367    0.057    0.000    0.057    0.000 {built-in method builtins.getattr}
   222229    0.057    0.000    0.057    0.000 {method 'get' of 'dict' objects}
     4927    0.028    0.000    0.054    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\lab\__init__.py:22(lab_to_xyz)
     4832    0.030    0.000    0.049    0.000 C:\Python312\Lib\ntpath.py:107(join)
     8171    0.024    0.000    0.049    0.000 C:\Python312\Lib\threading.py:1043(_set_tstate_lock)
    26872    0.025    0.000    0.045    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\lab\__init__.py:49(<genexpr>)
